id,title,category,price,old_price,price_drop,percent_drop,timestamp
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops","men's clothing",109.95,109.95,0,0.0,"2025-04-20 20:51:01"
2,"Mens Casual Premium Slim Fit T-Shirts ","men's clothing",22.3,22.3,0,0.0,"2025-04-20 20:51:01"
3,"Mens Cotton Jacket","men's clothing",55.99,55.99,0,0.0,"2025-04-20 20:51:01"
4,"Mens Casual Slim Fit","men's clothing",15.99,15.99,0,0.0,"2025-04-20 20:51:01"
5,"John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet",jewelery,695.0,695.0,0,0.0,"2025-04-20 20:51:01"
6,"Solid Gold Petite Micropave ",jewelery,168.0,168.0,0,0.0,"2025-04-20 20:51:01"
7,"White Gold Plated Princess",jewelery,9.99,9.99,0,0.0,"2025-04-20 20:51:01"
8,"Pierced Owl Rose Gold Plated Stainless Steel Double",jewelery,10.99,10.99,0,0.0,"2025-04-20 20:51:01"
9,"WD 2TB Elements Portable External Hard Drive - USB 3.0 ",electronics,64.0,64.0,0,0.0,"2025-04-20 20:51:01"
10,"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s",electronics,109.0,109.0,0,0.0,"2025-04-20 20:51:01"
11,"Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5",electronics,109.0,109.0,0,0.0,"2025-04-20 20:51:01"
12,"WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive",electronics,114.0,114.0,0,0.0,"2025-04-20 20:51:01"
13,"Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin",electronics,599.0,599.0,0,0.0,"2025-04-20 20:51:01"
14,"Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ",electronics,999.99,999.99,0,0.0,"2025-04-20 20:51:01"
15,"BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats","women's clothing",56.99,56.99,0,0.0,"2025-04-20 20:51:01"
16,"Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket","women's clothing",29.95,29.95,0,0.0,"2025-04-20 20:51:01"
17,"Rain Jacket Women Windbreaker Striped Climbing Raincoats","women's clothing",39.99,39.99,0,0.0,"2025-04-20 20:51:01"
18,"MBJ Women's Solid Short Sleeve Boat Neck V ","women's clothing",9.85,9.85,0,0.0,"2025-04-20 20:51:01"
19,"Opna Women's Short Sleeve Moisture","women's clothing",7.95,7.95,0,0.0,"2025-04-20 20:51:01"
20,"DANVOUY Womens T Shirt Casual Cotton Short","women's clothing",12.99,12.99,0,0.0,"2025-04-20 20:51:01"
id,title,category,price,old_price,price_drop,percent_drop,timestamp
